Дата,Россия экспорт
3/31/2023,"39,729.00"
2/28/2023,"29,516.00"
1/31/2023,"32,307.00"
12/31/2022,"53,958.00"
11/30/2022,"44,049.00"
10/31/2022,"43,709.00"
9/30/2022,"45,944.00"
8/31/2022,"48,949.00"
7/31/2022,"45,885.00"
6/30/2022,"54,049.00"
5/31/2022,"49,796.00"
4/30/2022,"48,413.00"
3/31/2022,"55,961.00"
2/28/2022,"51,431.00"
1/31/2022,"45,927.00"
12/31/2021,"58,063.00"
11/30/2021,"48,956.00"
10/31/2021,"46,824.00"
9/30/2021,"45,299.00"
8/31/2021,"43,125.00"
7/31/2021,"43,418.00"
6/30/2021,"43,309.00"
5/31/2021,"34,895.00"
4/30/2021,"36,700.00"
3/31/2021,"36,262.00"
2/28/2021,"30,287.00"
1/31/2021,"26,682.00"
12/31/2020,"35,883.00"
11/30/2020,"30,150.00"
10/31/2020,"28,617.00"
9/30/2020,"31,010.00"
8/31/2020,"23,289.00"
7/31/2020,"24,660.00"
6/30/2020,"24,509.00"
5/31/2020,"21,005.00"
4/30/2020,"24,965.00"
3/31/2020,"30,000.00"
2/29/2020,"28,704.00"
1/31/2020,"30,582.00"
12/31/2019,"39,623.00"
11/30/2019,"35,766.00"
10/31/2019,"37,010.00"
9/30/2019,"35,485.00"
8/31/2019,"34,295.00"
7/31/2019,"33,371.00"
6/30/2019,"32,377.00"
5/31/2019,"32,480.00"
4/30/2019,"36,693.00"
3/31/2019,"37,039.00"
2/28/2019,"34,738.00"
1/31/2019,"30,844.00"
12/31/2018,"41,273.00"
11/30/2018,"40,277.00"
10/31/2018,"41,349.00"
9/30/2018,"38,678.00"
8/31/2018,"37,524.00"
7/31/2018,"34,367.00"
6/30/2018,"36,328.00"
5/31/2018,"36,542.00"
4/30/2018,"36,013.00"
3/31/2018,"36,638.00"
2/28/2018,"31,305.00"
1/31/2018,"33,620.00"
12/31/2017,"37,191.00"
11/30/2017,"33,421.00"
10/31/2017,"31,523.00"
9/30/2017,"30,751.00"
8/31/2017,"29,056.00"
7/31/2017,"24,634.00"
6/30/2017,"29,515.00"
5/31/2017,"28,230.00"
4/30/2017,"26,049.00"
3/31/2017,"31,329.00"
2/28/2017,"25,820.00"
1/31/2017,"25,424.00"
12/31/2016,"31,209.00"
11/30/2016,"26,532.00"
10/31/2016,"24,751.00"
9/30/2016,"25,369.00"
8/31/2016,"23,105.00"
7/31/2016,"22,445.00"
6/30/2016,"24,038.00"
5/31/2016,"22,042.00"
4/30/2016,"21,750.00"
3/31/2016,"23,185.00"
2/29/2016,"20,135.00"
1/31/2016,"17,149.00"
12/31/2015,"28,708.00"
11/30/2015,"25,384.00"
10/31/2015,"26,964.00"
9/30/2015,"26,343.00"
8/31/2015,"25,034.00"
7/31/2015,"27,322.00"
6/30/2015,"30,088.00"
5/31/2015,"30,654.00"
4/30/2015,"30,715.00"
3/31/2015,"32,905.00"
2/28/2015,"29,401.00"
1/31/2015,"27,901.00"
12/31/2014,"38,093.00"
11/30/2014,"36,681.00"
10/31/2014,"41,502.00"
9/30/2014,"38,054.00"
8/31/2014,"41,413.00"
7/31/2014,"46,185.00"
6/30/2014,"40,600.00"
5/31/2014,"43,945.00"
4/30/2014,"47,522.00"
3/31/2014,"46,944.00"
2/28/2014,"36,339.00"
1/31/2014,"39,529.00"
12/31/2013,"49,366.00"
11/30/2013,"46,669.00"
10/31/2013,"43,390.00"
9/30/2013,"44,675.00"
8/31/2013,"42,399.00"
7/31/2013,"43,585.00"
6/30/2013,"41,707.00"
5/31/2013,"40,879.00"
