Дата,"Россия индекс потребительских цен (ИПЦ, 2010 - базовый год)"
4/30/2023,236.70
3/31/2023,235.80
2/28/2023,234.90
1/31/2023,233.90
12/31/2022,231.90
11/30/2022,230.10
10/31/2022,229.30
9/30/2022,228.80
8/31/2022,228.70
7/31/2022,229.90
6/30/2022,230.80
5/31/2022,231.60
4/30/2022,231.40
3/31/2022,227.80
2/28/2022,211.70
1/31/2022,209.20
12/31/2021,207.20
11/30/2021,205.50
10/31/2021,203.50
9/30/2021,201.30
8/31/2021,200.10
7/31/2021,199.80
6/30/2021,199.10
5/31/2021,197.80
4/30/2021,196.30
3/31/2021,195.20
2/28/2021,193.90
1/31/2021,192.40
12/31/2020,191.10
11/30/2020,189.60
10/31/2020,188.20
9/30/2020,187.40
8/31/2020,187.60
7/31/2020,187.60
6/30/2020,187.00
5/31/2020,186.60
4/30/2020,186.10
3/31/2020,184.50
2/29/2020,183.50
1/31/2020,182.90
12/31/2019,182.20
11/30/2019,181.50
10/31/2019,181.00
9/30/2019,180.80
8/31/2019,181.10
7/31/2019,181.50
6/30/2019,181.20
5/31/2019,181.10
4/30/2019,180.50
3/31/2019,179.90
2/28/2019,179.40
1/31/2019,178.60
12/31/2018,176.80
11/30/2018,175.30
10/31/2018,174.50
9/30/2018,173.90
8/31/2018,173.60
7/31/2018,173.60
6/30/2018,173.10
5/31/2018,172.30
4/30/2018,171.60
3/31/2018,171.00
2/28/2018,170.50
1/31/2018,170.10
